title,description
Full Stack Engineer (Python/React),"Required Skills:- 3+ years of experience with Python (ex. Django);- 3+ years of experience with React.js;- 1+ year of experience with TypeScript;- 2+ years of experience with MySQL;- Strong technical and coding skills with a passion for system architecture;- Proactive, strong communication skills, and empathetic, team player;- Experience of working with REST required;- Experience with AWS ecosystem: ECS, CloudFront, CloudFormattion;- Experience with Microservices architecture and modern frameworks is an advantage;- Upper Intermediate or higher English level.Responsibilities:- Integrating new features to the web application- Supporting platform and improving it, through customer requests- Efficient communication with all stakeholders in-time- Bugs fixing- Reporting- Having positive leader--subordinate relations with the team- Be curious and interested in self-development- Be happy and energeticProject description:A startup looking for a full stack developer to join our team for a long-term project that will last more than 6 months. Our ideal candidate should have expertise in API development, API integration, database development, JavaScript, Python, React, SQL database, software debugging, and web application development. We are a small business with 1-9 employees, so we need someone who is a team player and can work collaboratively with our team.What we offer:- Healthy workplace environment- Strong and friendly development team- Competitive reward- Compensation for education- Flexible schedule- 15 paid vacation days, 7 paid days-off"
Senior Python Backend Engineer,"We’re about to convince you that you need a new job… and that you’ve just found the perfect opportunity. We’re steadily growing, and we’re continuously looking to expand our team with experienced Python engineers.Join Reef Technologies and work on your own terms:  * Contribute from wherever you like – we are fully remote.  * Pick your own working hours individually. We only hold ~2 calls per week.  * Work with dynamic startups from all over the world on the projects of your choice.  * Contribute to the decision-making process and influence the way we operate.  * Choose the projects you want to work on. We receive enough offers to only accept the ones that we like.Remuneration on a B2B contract:  * 45-70 USD per hour, or  * 7560-11760 USD a month if you do 40 hours per week    Flexible work schedule (measured by time tracker)Please apply via our company website link.Additional perks of working at Reef Technologies:  * We offer a stable position at an established company in a booming industry.  * All decision-makers, including the CEO, are Senior Python Engineers.  * We cover reasonable coworking space expenses.  * You’ll be assigned a private assistant to save time on personal obligations.  * You’ll get financial help to buy the necessary hardware.  * You’ll work in a multicultural environment where everyone has a say.  * You’ll get to use your English skills on an everyday basis.  * You’ll get to take advantage of our flexible leave policy.And don’t forget that you’ll be free to work wherever and whenever you want to. We believe that you’ll do your part by independently taking the right decisions.Our only expectation timewise is for you to contribute around 30-40 hours per week, which we believe is optimal for sustainable full-time engagement in a remote setting. You’re free to distribute those hours throughout the week in the way that you find the most convenient, within reason.We want to ensure proper work-life balance and create an environment where you can focus on your code while at work, and on whatever brings you pleasure in your free time. That is why as one of our benefits we offer the services of a private assistant. Appointments, research, online shopping, and more – you choose which tasks to pass on to your assistant.Expert Python engineer wantedDo you have at least 5 years of programming experience – not necessarily professional – including at least a year with Python? If so, you have probably written so much Python code in your life that at times you want to express your thoughts through list comprehensions. Thanks to your extensive experience, you can solve any problem that gets thrown at you, but that is not enough – you come up with multiple solutions for every issue, and you always know how to choose the most Pythonic one.And that is all a good sign – a sign that means you’re exactly the type of person that we’re looking for! If you’d like to see what it’s like to work with Python natives who all bring their long-standing expertise to the table, please get in touch. Spoiler alert: it’s great.We have good manners, though, so let us introduce ourselves first. Do you want to find out more about the company? We were hoping you’d ask.Get to know your future companyReef Technologies is a fully remote Python backend software house. We’re a small, agile, senior-only team. All of our current members have more than seven years of strong experience, so we don’t ever have anything urgent to fix. We only deliver stable solutions, as we have developed a system that has delivered more than a hundred challenging projects in the last three years. We’d like to improve it even further with you on the team.The demand for our work is extremely high, so we get to pick and choose the projects that we want to take on – and the same goes for you. Before you get assigned to a project, you’ll get a personal call from the CEO asking whether you’re interested in that particular task and if you don’t like it, we’ll just get something else. That’s the beauty of having a sales team that greatly outperforms our delivery capacity.Let your code have a real impactAt Reef Technologies, we don’t have managers. Thanks to the group decision-making framework, Sociocracy 3.0, every member of the team can be sure that their opinion will be valued. (Check it out here, you’ll wonder how you’d survived in traditional organizations until now!) Our CEO doesn’t only take care of sales, bureaucracy, and client relationships - he is also a programmer, so all of us really do work together and understand the job at hand.What type of projects would you work on? We mainly accept offers from startups and small-to-medium businesses from the US, the UK, and Canada. Some projects may only last a couple of hours, while others take even a few years for us to complete. There is one thing that you can be sure of, though - that it will always be your personal choice whether to work on a particular project or reject it. What would you have thought about these?  * financial data warehouse which aggregates over 31 000 time series into a few hundred charts for a fintech company from London  * graph data search/visualization system for auditors/investigators from Norway  * super scalable WAF optimized down to extremely low running costs for a client from Chicago, IL  * multisource cloud object synthesizer library for a storage provider from San Mateo, CA  * report generator/inventory tracker for an e-commerce/healthcare company from Canada  * k8s-based revenue optimizer for large private GPU compute clusters in North America  * paper product level tracker for toilet cleaners from Canada  * hydrant certification report generator for Australian plumbers  * multi-tenant hospitality management system for large properties in the US  * large scale information display system for retailers (international)We have already delivered those, but you can be sure we’ve got even more exciting projects coming up in the future. All that without ever setting foot in an office. We have completed those projects – and many more – from the comfort of our own homes, from tropical beaches and from our favorite coffee shops. Some of us work early in the morning, others start off late in the night. Each of us is free to choose their own programming environment. We know our engineers are competent enough to organize their work and achieve top productivity in their own way. Do you think you'd enjoy this type of freedom? Become one of us and make the world a better place by delivering more than just lines of code.Please apply via our company website link."
Python Developer,"The company Noname Digital is inviting Python Developer for just such a job.Participating in the development of an innovative project that will change the world and write down its creators in the history of mankind is what every prograammer dreams of. We are looking for a Python Developer from Ukraine If you dream about career advancement and have the following skills, then we are waiting for your call 👇🏻-Necessary knowledge-Python,Redis,Docker,Linux,Devops base knowledge,Django,Git,Rest API,Data scientist base knowlege,Networking base knowledge,Telegram bot API.Remote or work in the office!Office in Kyiv (Unit city)Working conditions:- daytime (10:00 - 19:00)- teamwork;- comfortable office;- tea, coffee and a good mood :)"
Python NLP Developer,"Tangible AI helps nonprofits and social businesses increase their impact and work smarter using custom AI-powered applications and chatbots.We are looking for a contract Python developer passionate about using their Python skills to contribute to open source projects that make the world a better place for everyone.​You will start with a 3-month remote part-time contract (20+ hours/week), with the potential to grow into full-time employment.We will get to know each other in a small (3-week part-time) paid project.​ This role is for you if you... * Are passionate about social impact and open source* Love building applications that work reliably* Are eager to learn about Natural Language Processing and chatbots* Enjoy new challenges and picking up new skills and tools* Are enthusiastic about AI and how it can be used to build a better world.​ In this role, you will... * Work with a global Agile team to build, deploy, and maintain Django web apps* Develop software and algorithms using Python* Learn new skills and best practices in machine learning and NLP* Use CI/CD pipelines to improve your productivity and the quality of your code​ Potenial projects for you: * A math expression extraction PyPi package (`mathtext`)* An chatbot intent classification NLP algorithm* Education chatbots that assist children and young adults in countries around the world in various languages​ Required skills* Great oral and written communication in English* 1 year or more of project-based Python experience* Personal or professional project in Natural Language Processing - highly preferred* Experience with Django and Gitlab CI/CD - a bonus* Problem solving skills and ability to learn independently* Ability to multi-task and handle numerous on-going projects simultaneously​ Why join us? * We're a growing global company working with nonprofits and social businesses in 10 countries.* We work on problems that matter. Everyone on our team is exposed to the real-world challenges that social impact organizations face.* We will teach you everything we know. As part of the Tangible AI team you will be working directly under the supervision and mentorship of the company's founders providing you with the mentorship to succeed at Tangible AI and beyond.* Our commitment to transparency. Every consultant in Tangible AI is part of running the company and is exposed to all aspects of our operations. We encourage ""spin-offs"" that take our open source software and create new businesses."
SEnior Python WMS,"Job Summary: We are looking for a full-time Senior Python developer to join our team. You will be responsible for integrating our automated system with 3rd party vendors. Your duties will include studying warehouse management systems APIs and data exchange, custom user-interface modules development, as well as, constant cooperation with other teams.Responsibilities: Development of features based on the requirement analysis.Work with complex systems documentation.Client-server product development.Writing accurate and comprehensible code.Linux development, ability to work effectively in a Linux environmentAnalysis and troubleshooting of software problems (knowledge of debugging tools).Pipeline: 90% - design, development and debugging of functionality 10% - code review of colleagues Your profile... More than 5 years experience as a developer.Experience in decomposition and estimation of the execution time of large tasks.Willingness and desire to take responsibility for the result. Experience in designing complex software, experience in applying various types of testing, continuous integration.Confident in written English.It would be a plus if you... ➔ Have higher technical education. Experience with frontend technologies.What we offer… ➔ Lack of bureaucracy; no outdated rules ◆ We don't waste time on unnecessary approvals and paperwork. This allows us to focus on our core processes and achieve maximum efficiency. ➔ Great team spirit ◆ Our team is tight-knit, friendly, highly professional, proactive, productive, responsible and reliable. ➔ Training and development ◆ Developing our employees means developing our company. Visiting specialized exhibitions in Europe and the USA helps us stay up-to-date with the latest trends and technologies. We offer opportunities for growth not only in professional but also in related areas. ➔ Prospects ◆ Robotics is one of the most promising areas of activity. Our company offers a chance to work at the forefront of scientific and practical thought, and to become not just a professional, but a pioneer who sets standards and trends for others. ➔ Freedom of time management ◆ Ability to predict the amount of time you’re going to spend on a given task and be ready to present it on-time-this is what we truly value in our team.That's why we give our employees the freedom to manage their own time, while carefully ensuring the best outcome is provided until the agreed time frame.Why us? Our company culture is built on the values of openness, responsibility, and freedom of engineering. We encourage our employees to embrace new opportunities and challenges, take ownership of their work, and explore innovative solutions. Our values  Openness: Be open to fresh possibilities, transformations both internal and external, and facing obstacles and challenges.  Responsibility: You manage your tasks and set your own deadlines, that’s why you are accountable for the outcomes of your own labor in the presence of colleagues and customers, as well as, for the feedback and assessment on the output of the work of fellow teammates and customers.  Freedom of engineering: The potential for unrestricted creativity - every idea is within reach! The only inquiry is when it may be realized, in what shape, and with what necessary features and characteristics.About MrtWe are revolutionizing the Retail, Fulfillment, and Intralogistics industries, developing our own cutting-edge robotics by creating software and hardware systems. We’re proud to supply and integrate our original product into existing supply chains and provide full service maintenance. We are completely committed to openness, responsibility, and freedom of engineering. We are working and going to work with colleagues who share our values and are eager to work in a challenging environment."
Tech Lead (Python/Django/JS),"Requirements- Business-driven personality.- Understanding of how a software development company works and what business models it has.- 4+ years of management/delivery experience in small outsourcing/outstaffing/client-facing companies.- Experience in dev team management: hiring, growing, and people development.- Experience in project management: budget, effort, scope, schedule, quality, customer relations.- English - Advanced.Ideally, we’re looking for a technical candidate with a web development background in Python and JS, but consider candidates with other languages or without an engineering background.ResponsibilitiesTeam management:- Establish processes between clients and development teams.- Ensure team members have clear goals, prioritised backlog.- Administrative tasks such as reporting, metrics, timesheets.- Coaching teams on implementing a continuous improvementprocess.Project management:- Pre-sale phase, Discovery management.- Estimating project development budget, preparing Proposals and Project roadmaps.- Write tasks descriptions, including clear acceptance criteria.- Manage refinement and sprint ready backlog.Client management:- Build a relationship with clients.- Learn about clients' business, their products, and how we arecontributing through the code to making their businesses successful.- Ensure that the developers' contributions are valued by collaboration between our team members and the client.*Would be a plus*- Professional certifications.- Experience in handling several pre-sales at one time.- Extensive background in development and delivering complex projects throughout the lifecycle.- Understanding of company finance models and operations.- Speaker in public conferences / courses (optional).What PLANEKS offers0. Fast and comfortable hiring process.1. 100% remote(even before the COVID) work opportunity and flexitime - choose working hours between 8:00-20:00.2. Manage your compensation $$$$ budget - Travel tickets, Work equipment, Health insurance, Software, Sport, Training.3. Salary paid in USD + tax compensation. Revision every 12 months. We want everyone to be confident in what tomorrow brings.4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends.5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we're proud of how we handle that. So you can always count on us.6. Speaking clubs with a native speaker to constantly maintain your English level.7. No bureaucracy - transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently.We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it!"
Junior software engineer (parsing/reverse),"Big data, AI та військова сфера - це те, що ми поєднали у своїй роботі. Працюємо ""at the cutting edge of innovation"", аналізуємо великі дані із соцмереж, ідентифікуємо людей за фото, вирішуємо інші корисні задачі для військових та бізнесу.Чому вакансія повинна тебе зацікавити?- Можливість поєднати створення високотехнологічних продуктів та роботу в інтересах ЗСУ- Розробляємо технології AI з аналізу людей, унікальні у світовому масштабі. Майже як у Чорному дзеркалі. У нас цікаво, незвично та багато драйву- На кожній позиції ми надаємо свободу дій, ""творчості"", а також даємо складні задачі та допомагаємо їх вирішувати, що дозволяє дуже швидко прокачувати свої навики та бачити результати саме своєї роботиТехнічні вимоги:- Досвід роботи з Python (asyncio, multiprocessing, aiohttp, requests, BeautifulSoup, Selenium)- Досвід парсингу open data- Розуміння асимптотики, алгоритмів, структур даних, основ паралельного програмування- Розуміння основних принципів передачі даних у мережі- Досвід роботи з NoSQL та SQL базами даних (MongoDB, Redis)Бажано:- Знайомство з Java (Android), JavaScript (frida), adb- Бекграунд у сфері application security- Досвід роботи з Linux, Docker- Досвід створення API, оптимізації програмного кодуПриклади задач:- Application security analysis- Розробка інструментів збору інформації із відкритих джерел- Використання інструментів роботи з big data — побудова кластерних рішень- Побудова пайплайнів передачі даних"
Senior Python Backend Developer,"The compnay was  founded in 2017 with the mission to help hoteliers all over the world to get their prices rightThis is an award-winning pricing automation tool for hoteliers.The product is a revenue management software and pricing solution designed specifically for the hotel industry. It helps hoteliers optimize their room rates and maximize revenue by providing intelligent pricing recommendations based on various factors such as market demand, competitor analysis, historical data, and other relevant variables. You’ll be responsible for various tasks in the following areas:•	Work with a small team of experienced and highly talented developers using Python and Django•	Evolve our architecture and engineering to support the ever-growing scale of users, features and data.•	Work closely with Product and Design, taking full responsibility and ownership from conception to post-deployment in a fast-paced, collaborative environment.•	Individual Contributor reporting directly to the CTO•	Build up a strong engineering organization and development cultureYOUR PROFILE•	4+ years of professional development experience with Python.•	Advanced understanding of Python development-related libraries such as Django.•	Experience developing and deploying CI/CD pipelines.•	Excellent knowledge of software design principles.•	Great communication skills.•	High ownership skills.•	Team player, egoless and empathetic.•	You are fluent in English.•	You are based in European Time Zone (UTC+0 / UTC+2)NICE TO HAVE(S)•	Being based in Mannheim/Germany•	Hands-On experience with: Snowflake, Elasticsearch. Amazon S3, Fargate&Spotlight, RabbitMQ. gRPC, Microservices.DataDog, SonarQubeOFFER:•	Hybrid Office Model: a flexible and empowering work environment – you can choose to work 100% from the office in Mannheim or up to 100% remote from wherever you want.•	One team: a young team with a transparent company culture by staying up to date with each other through team stand-ups, regular All-Hands and awesome team events (Regular Get-Togethers in Mannheim, annual 1-week Summer-Trip, Winter Party).•	Birthdays off: So you can celebrate on your terms.•	Rewarding loyalty: At your 5 years anniversary with the company we give you 5 weeks of an extra holiday which you can use to take extended time off. You can use it for whatever you want: may it be travelling, spending time with your besties or volunteering."
Senior Python Developer,"Who we needWe are looking for a talented Senior Python Developer with 4+ years of programming background to build a product from scratch.RequirementsMust have- Python, Django framework, SQL- Very good knowledge in buiding API’s- Knowledge of OOP- Understanding/configuring of CI/CD processes- Solid understanding of databases- Understanding of infrastructureWill be a plus- Experience in data engineering (ETL, pipelines building)- SalesforceAbout ProjectProductOur client is an innovative, fast-growing management and consulting firm supporting mass tort law firms. They help insurance providers automate and improve their claims process. According to their website, they specialize in providing assistance to individuals and businesses that have been affected by natural disasters, including hurricanes, earthquakes, floods, and wildfires.They offer a range of services, including claims preparation, filing, and negotiation with insurance companies.The product is a fresh-new and from scratch. Legal tech to help layers and clients better manage their cases and claims.StageThe product is a fresh-new and from scratchProject team2 Data Engineers, 1 Salesforce developer, 1 Python developer, 1 AQA (Selenium)Project TechnologiesPython, Django, SQL, AWS Glue / DBT / PostgreSQL / Unstructured & Structured Data stores, data pipelinesWork ScheduleFlexible hours, 40 hours per week; work from office or remotelyInterview Stages1. Call with Recruiter2. Technical interview with Recruiter and Python Developer3. Client interviewOur Benefits- Opportunity to work with the most trending technologies, no legacy, no bureaucracy- Work from anywhere (fully remotely or in our office)- Paid vacations and sick leaves, additional days off, relocation bonus- Wellness: Medical insurance/sports compensation/ health check-up+flu vaccination at your choice- Education: regular tech talks, educational courses, paid certifications, English classes- Fun: own football team, budget for team lunches, branded gifts- One of the best IT employers in Lviv based on DOU rating"
Middle Python Developer,"What you will do You will be responsible for building API integrations; Testing your integration; Adding all integrations to our library using the framework established. Proactively work on product & process improvements.Must haves 2+ years of Python3 experience; Experience with API integrations; Experience with Postman; Experienced with Postgres; Excellent communication skills; Experience working in an environment leveraging remote communication and collaboration tools (e.g. Github, Slack, JIRA) Upper-Intermediate English.Nice to have Experienced with AWS; Understanding of CI/CD;About the projectOur client integrates with various gift card processors to offer a wide variety of gift selections to our customers. This integration is achieved by hooking up with their API, and mapping the responses to our internal structures, to present a unified experience to the customers.With us, you can Work in a dream team of A-players, 65% of whom are seniors Create solutions that will be used by global giants like Paramount, IBM, Deloitte, Volkswagen, and others Shape your success journey through a personalized growth roadmap tailored to your interests and goals Embrace agility — forget about micromanagement and old-school hierarchies"
